Mean RT,Mean CV,Sample 1 Intensity,Sample 2 Intensity,Sample 3 Intensity,Sample 4 Intensity,Sample 5 Intensity,Sample 6 Intensity,Sample 7 Intensity,Sample 8 Intensity,Sample 9 Intensity,Sample 10 Intensity,Sample 11 Intensity,Sample 12 Intensity,Sample 13 Intensity,Sample 14 Intensity,Sample 15 Intensity,Sample 16 Intensity,Sample 17 Intensity,Sample 18 Intensity,Sample 19 Intensity,Sample 20 Intensity,Sample 21 Intensity,Sample 22 Intensity,Sample 23 Intensity,Sample 24 Intensity
571.4364,-5.351667,0.081968,0.041501,0.082318,0.044823,0.0092834,0.029364,0.026378,0.038177,0.072762,0.031997,0.081374,0.032994,0.034567,0.026693,0.029385,0.024293,0.04026,0.058769,0.044394,0.061305,0.087164,0.085124,0.066123,0.073204
560.0313,-3.492917,0.17034,0.15275,0.16406,0.14513,0.091523,0.11523,0.040062,0.099154,0.15157,0.072431,0.17745,0.066994,0.1228,0.14041,0.1273,0.14251,0.1623,0.17408,0.10125,0.12364,0.14366,0.23238,0.16148,0.18704
671.971,-3.5775,0.2932,0.72797,0.11279,0.10815,0.80846,0.91588,1.0083,0.87759,0.75757,0.10163,0.11511,0.84428,0.57318,0.40669,0.56286,0.53042,0.5335,0.31912,0.66334,0.048716,0.45967,0.66314,0.024596,0.043248
538.8651,-3.100526,0.012535,0.072461,0,0.0090487,0.095018,0.08671,0.060827,0.072521,0.051844,0,0,0.063075,0.13687,0.045855,0.047186,0.29976,0.1965,0.15075,0.0049328,0.024065,0.17167,0.063373,0,0
545.1227,-2.843043,0.14867,0.1816,0.0069319,0.0090487,0.0078878,0.18972,0.020372,0.1777,0.22157,0.032903,0,0.019351,0.082194,0.044972,0.18015,0.29976,0.1965,0.15075,0.092075,0.024065,0.17167,0.063373,0.1973,0.084967
596.1072,-2.872273,0.14533,0.17412,0.1384,0.12638,0.0092941,0.014447,0.024736,0.046847,0.12221,0.18177,0.069628,0.02327,0.17145,0.17079,0.13753,0.15772,0.11775,0.10793,0.21811,0,0.17759,0.14428,0.022385,0
853.0289,-3.139048,0.079285,0.012997,0.22741,0,0,0,0.0082065,0.091422,0.084122,0.0096108,0.080156,0.015844,0.08405,0.030655,0.04831,0.039488,0.052282,0.09974,0.0045386,0.043135,0.050468,0.1039,0.0092008,0.12248
655.1732,-3.10625,0.0096091,0.1254,0,0,0.45557,0.29877,0.31961,0.2597,0.12675,0,0,0.45788,0.24251,0.016739,0.09454,0.076149,0.04323,0,0.079456,0,0.030821,0.039551,0,0
610.4944,-1.991,0.021147,0.11164,0.024618,0.10908,0.030595,0.046085,0,0.10545,0.03129,0.075904,0.055661,0.043365,0.091244,0.13924,0.088836,0.041207,0.11337,0.0099803,0.072176,0,0.10872,0.036307,0,0
516.9375,-1.110556,0.059246,0.55047,0,0,0.90062,0.70723,0.86816,0.63899,0.50298,0,0,0.91922,0.68323,0.026978,0.3137,0.28772,0.23502,0.065171,0.42217,0,0.16589,0.33002,0.029606,0
645.9231,-1.003636,0.075582,0.12991,0.10789,0.1075,0.1451,0.038393,0.13055,0.10621,0.10055,0.12949,0.10278,0.10878,0.13148,0.16054,0.10474,0.096042,0.071078,0.13231,0.06168,0.036384,0.090024,0,0.094763,0
692.3911,-1.301875,0.023579,0.0081002,0.049236,0.010476,0.084863,0.062627,0.18355,0.029944,0.052883,0.27349,0,0.041157,0.090017,0.28531,0.011158,0.093299,0,0.013294,0,0,0,0,0,0
530.9318,-0.2591304,0.07402,0.04653,0.19704,0.12083,0.012835,0.017908,0.004084,0.043276,0.065499,0.14643,0.1443,0.037811,0,0.069314,0.029778,0.036851,0.077953,0.10096,0.094881,0.11546,0.1014,0.18023,0.10444,0.12087
281.9812,0.8529167,0.22587,0.21575,0.34355,0.28972,0.20284,0.18549,0.20383,0.30005,0.28153,0.20102,0.24546,0.24049,0.21907,0.16749,0.20035,0.21489,0.24116,0.24104,0.27393,0.26868,0.21494,0.26655,0.17236,0.27587
567.1295,1.7525,0.37648,0.25559,0,0,0.5976,0.85411,0.74962,0.64294,0.82172,0.10306,0.17531,0.67014,0.46564,0.038351,0.067368,0.25737,0.37336,0.0057329,0,0,0.19434,0.51903,0.035317,0.007722
645.791,2.923478,0.19303,0.41171,0.33102,0.15853,0.39013,0.42802,0.49906,0.52816,0.39446,0.4388,0.11735,0.37803,0.48046,0.30012,0.4098,0.34963,0.23707,0.17853,0.25576,0.014895,0.32323,0.16744,0.053831,0
499.4448,1.616818,0.32477,1.3274,0,0.044962,2.3959,2.0423,2.417,1.8507,1.4257,0.06121,0.016255,2.3565,1.8217,0.25744,1.0347,0.85658,0.69288,0.29505,1.065,0.027824,0.67364,0.98707,0.079543,0
542.9043,1.800556,0.10788,0.48747,0,0,1.2709,1.747,0.93813,0.74353,0.49884,0.011618,0,2.004,0.87886,0.034617,0.36942,0.32114,0.14972,0.080973,0.35543,0,0.19725,0.35552,0,0
549.4557,1.992105,0.036247,0.28364,0,0,0.89297,1.747,0.49465,0.5372,0.28148,0.011618,0,2.004,0.50589,0.032388,0.28649,0.16647,0.15927,0.004461,0.30906,0,0.16466,0.067145,0,0.007722
55.84815,-23.6005,0.13361,0,0.84204,0.015054,0,0.45393,0.15439,0.40746,0.35195,0.32211,0.27786,0,0,0.22006,0.35099,0.29015,0.61769,0.57156,1.0852,0.042078,0.47802,1.6633,0.091182,0.34015
56.55325,-23.644,0.25768,0,0.84204,0.015054,0,0.35332,0.30693,0.40746,0.35195,0.32211,0.27786,0,0,0.22006,0.35099,0.29015,0.61769,0.57156,1.0852,0.042078,0.47802,1.6633,0.091182,0.22519
63.1348,-21.48867,0.52865,0,0.041184,0.10741,0,0.36463,0.18487,0,0,0.17868,0.17297,0.49223,0,0.38037,0.65492,0.58941,0.26728,0,0,0.19747,0,0,0.058805,0.050893
